circle_id,waseda_id,source_hash,名前,メインカテゴリ,サブカテゴリ,活動内容,活動日時・場所,サイトメモ,translation_status,review_status,review_note
C0016,3586,fa3e343de31562c6,小型皇家足球俱樂部,體育（球類）,五人制足球,我們是PETIT ROYAL FC，所澤校區最大的五人制足球俱樂部。我們的規則是：1. 僅限初學者（歡迎有經驗的女性加入）；2. 俱樂部活動期間禁止吸煙；3. 俱樂部活動期間禁止強迫飲酒。我們每週在所澤校區體育館進行兩次五人制足球訓練，不分性別和年級，所有人都可參加。由於我們只招收初學者，因此歡迎任何想要嘗試新運動或只是想輕鬆享受運動樂趣的人加入。此外，由於我們不吸煙也不強迫飲酒，因此歡迎任何不喜歡香煙或酒精的人加入。除了每週的五人制足球活動外，我們每年還會舉辦三次訓練營，舉辦夏季和冬季錦標賽，以及校友活動。我們也會參加校外錦標賽，不分性別和年級。,每週三/下午6點至8點/週日下午1點至5點/體育館,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0017,3414,52e32c4af79c2a31,卡特茲威,體育（球類）,五人制足球,卡茨比俱樂部每週在公園踢兩次室內五人制足球。這是一個全部由早稻田學區女生組成的俱樂部，所有成員都是球員，而不是教練。許多成員都是初學者，俱樂部並不追求嚴肅的比賽態度或刻苦訓練以爭取首發位置，而是讓大家在想運動、想見朋友、想享受足球樂趣的時候隨時來玩！每個年級大約有20人，同學之間以及高年級和低年級成員之間的關係都非常好。我們每月參加一次當地的比賽。我們的對手包括上班族，有時甚至還有孩子，所以即使是比賽，氣氛也總是很友好！卡茨比的魅力在於每個人都相處融洽，彼此關心！,每週三、六 / 13:00 - 18:00 / 西登山公園,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0018,3415,01e46ff4e5e16ab9,埃斯皮加,體育（球類）,五人制足球,我們俱樂部有大約35名男生和35名女生，每週五在吉祥寺踢一次五人制足球。練習的前半段，我們會男女混合一起進行輕鬆愉快的鍛鍊；後半段，我們會進行認真的五人制足球訓練，男生或女生分別進行練習。我們每年還會參加幾場比賽，今年春天，女生隊在早稻田大學舉辦的校際比賽中獲得了亞軍。當然，除了五人制足球，我們還有很多其他活動，例如去迪士尼樂園、露營、每年四次的訓練營、夏季遊輪旅行和聖誕派對。成員之間親密的友誼是俱樂部的一大亮點，一定會豐富你的校園生活。週五，Espiga俱樂部精彩無限！,每週五 / 晚上7點 / 吉祥寺,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0019,3416,8b33465edf0e3dae,早稻田,體育（球類）,五人制足球,Diente 是一個五人制足球俱樂部，無論你是足球新手還是高中足球老手，無論男女，無論國際學生，都能在這裡找到樂趣。尤其值得一提的是，Diente 擁有大量國際學生。如果你想認識國際學生、享受足球的樂趣、學習外語，或是了解海外旅行的訊息，我們都非常歡迎你的加入。每年，Diente 的球員水平都涵蓋了從高級到初級的各個階段，但大家都會以既輕鬆又認真的態度一起訓練。我們或許不是最強的隊伍，但我們總能在比賽中製造精彩的場面。俱樂部的氣氛和飲酒方式都非常輕鬆自在，你可以按照自己的步調享受足球的樂趣。我們每年都會舉辦幾次訓練營和其他各種活動！ Diente 擁有早稻田大學最熱情友善的氛圍！歡迎你隨時來和我們一起訓練！,每週二、四日等日期 / 下午 6 點 / 田畑新町社區競技場,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0020,3721,6216bee5553b8e26,坦佩斯塔足球俱樂部,體育（球類）,五人制足球,FC.TEMPESTA 是位於所澤校區的室內五人制足球俱樂部。我們實行男女混合訓練，沒有教練！來自各行各業的人們——早稻田大學學生和其他大學的學生、初學者和經驗豐富的球員、男性和女性——都在這裡盡情享受著室內五人制足球的樂趣。我們每年參加多次比賽，並在各地都取得了不錯的成績！雖然室內五人制足球是我們的主要活動，但我們也組織豐富多彩的活動！例如夏令營、聖誕派對、滑雪之旅等等…歡迎加入我們！我們期待著您的加入，也期待著我們多元化的成員群的到來！,星期二和星期五,Circle 網站已關閉,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0021,3417,c87ec4899228e578,通作,體育（球類）,五人制足球,敦速（Tonsoku）是早稻田大學官方認可的五人制足球俱樂部，成立於2013年。儘管成立時間不長，但其訓練環境卻堪比一些老牌俱樂部，並擁有豐富的訓練營和各類賽事。俱樂部成立第一年便獲得早稻田大學的官方認可，並在第二年便贏得了早稻田大學聯賽的冠軍，展現了令人矚目的成長。此外，俱樂部內部的連結也十分緊密，不僅體現在橫向的交流上，更體現在縱向的連結上。例如，年輕球員和老球員之間經常進行積極的互動，而非老球員之間單向的指導關係。然而，俱樂部最引人注目的特點在於其「形象」。我們的理念是「從形象開始」。我們注重隊服設計的細節，並引入了其他五人制足球俱樂部所沒有的隊服和訓練服，這些都是「從形象開始」理念的體現。這也印證了「沒有成績，外表再好也毫無意義」的道理。但敦速與眾不同。球隊成立第一年便在各項賽事中屢創佳績，2014年榮獲早稻田五人制足球聯賽冠軍，2015年獲得季軍。更值得一提的是其非固定球員制度。球隊的成功源自於每位隊員對五人制足球的熱愛與刻苦訓練。我們期待與您志同道合的隊友加入，共同努力，成為名副其實的早稻田最佳球隊。,每週二、四下午 4 點至 6 點 / 錦糸町、豐島園、目白台,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0022,3739,b18948bf37da43db,早稻田大學五人制足球俱樂部,體育（球類）,五人制足球,"秉持著「從早稻田大學出發」的使命，早稻田大學將引領體育社團、大學生和五人制足球的變革，創造未來。

/
/
/
/《競技方面》

/
/早稻田大學五人制足球隊是該校唯一一支獲準參加正式比賽的球隊。對於許多高中時期就全心投入足球的球員來說，這裡是他們能夠正式代表大學參賽的舞台。這裡沒有選拔賽，也沒有運動獎學金，大門向所有人敞開。

/
/在教練方面，我們擁有一支優秀的教練團隊，由一位經驗豐富的主教練和多位曾在F聯賽（町田龍太）執教的教練組成。

/

/

/

/隸屬：東京都立大學五人制足球聯賽

/

賽事：全日本大學生五人制足球錦標賽 / 全日本五人制足球錦標賽

/

/

/《商業方面》

/

加入後，您將被分為五個小組，並有機會擴展您的商業活動領域。俱樂部成立之初便獲得了約300萬日元的贊助資金。從招募教練和其他工作人員，到爭取贊助商和組織全國性賽事，學生們全程主導。這使得俱樂部能夠開展其他體育俱樂部無法比擬的活動。


/
/
/
/俱樂部不僅在競技方面，而且在商業活動方面，都開展著其他組織無法比擬的有意義的活動。","【練習】週一、週三、週五 21:00-23:00

/【練習賽/正式比賽】週六、週日

/【練習場地】梓澤體育館、赤塚體育館、早稻田體育館等

/【比賽場地】駒澤體育館、駒澤室內球館等",無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0023,3580,ecb1adc98b8c7519,托科潘,體育（球類）,五人制足球,男女老少都可以一起享受五人制足球的樂趣。我們還有豐富多彩的活動，包括錦標賽、滑雪之旅和萬聖節派對！,暫無相關資訊。,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0024,3163,2e926b6b8389f904,G.W.橄欖球俱樂部,體育（球類）,欖球,我們是一家成立於1930年的傳統橄欖球俱樂部。悠久的歷史使我們擁有龐大且成熟的校友網絡，為俱樂部提供多方面的支持。此外，我們曾連續兩年（2014年和2015年）榮獲全國大學生俱樂部冠軍！今年，我們正努力訓練，力爭三連霸。我們歡迎所有希望全心投入橄欖球運動的經驗豐富的球員，也歡迎想要初次嘗試這項運動的初學者！即使您想以經理的身份支持球隊，我們的資深成員也會悉心指導您，所以完全不用擔心！ 「G-Dub」的所有成員齊心協力，共同打造精彩的球隊，因此我們擁有充實而愉快的大學生活，無論是在橄欖球方面還是在其他活動中。如果您有興趣，請聯絡我們！,每週三、六和週日,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0025,3407,eaaba735341b989a,複雜橄欖球隊,體育（球類）,欖球,Complex橄欖球隊是關東學生俱樂部錦標賽第一組的成員，也是早稻田大學官方認可的校際橄欖球俱樂部。我們隊上還有許多來自其他大學的隊員和教練。歡迎大家來觀摩我們的訓練。我們實力強勁，曾於2011年獲得關東學生俱樂部錦標賽冠軍，並於2016年獲得東日本學生俱樂部七人制橄欖球錦標賽冠軍。此外，我們還會舉辦豐富多彩的活動，例如燒烤、夏令營和春季旅行。想要體驗精彩的大學生活嗎？那就加入Complex吧！,每週三下午 4 點至 6 點 / 吉祥寺；每週六、週日下午 2 點至 4 點 / 江戶川（視場地狀況而定）,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0026,3518,2248a185a331eaaf,早稻田大學理工學院橄欖球俱樂部,體育（球類）,欖球,我們與電子通訊大學橄欖球俱樂部保持著密切的合作關係。我們隊上既有許多初學者，也有許多經驗豐富的球員，大家都很享受一起打橄欖球的樂趣。去年，我們以全勝戰績贏得了關東地區第一區第二組的冠軍。,每週六 13:00 開始（@電氣通訊大學玉川運動場）,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
C0027,3515,9e1f6b6323540604,科學與工程美式足球俱樂部巴克斯,體育（球類）,美式足球,"早稻田巴克斯（Waseda Bacchus）是一支隸屬於關東學生足球俱樂部聯盟的美式足球隊。該聯盟由關東地區各大學的體育俱樂部、半體育俱樂部和學生組織組成。早稻田大學擁有超過3000個學生社團，而早稻田巴克斯是少數幾個獲得理工學部正式認可的社團之一。巴克斯的社團活動室位於富山校區學生會大樓（30號大樓），成員來自早稻田大學各系（管理階層包括其他大學的學生）。即使畢業後，校友們仍然與巴克斯保持聯繫。這支由500多名學生和校友組成的隊伍被稱為「全巴克斯」（All Bacchus）。巴克斯的一大特色是每年都會為學生提供全面的求職支援。

/
/
/
/【近期成績】

/
/2018年第一級聯賽 Frontier Div. 4勝1負，並列第一（因淨勝球劣勢排名第三，未晉級關東錦標賽）

/
/2019年第一級自由組 4勝1負，排名第二，晉級關東錦標賽（最終排名第三）

/
/2020年特別聯賽 2勝0負，排名第一，晉級決賽（最終排名第二）

/
/2021年特別錦標賽 第四名

/
/2022年特別錦標賽 第五至第六名（未排名）

/
/2023年第一級自由組 3勝1負，排名第二，晉級關東錦標賽（最終排名第三）

/
/
/
/請寄郵件至：[email protected]",每週六、週日 / 上午 9:00 - 中午 12:00 / 國分寺，日本美國學校（多摩），武藏野公園,無,google_translate_zh_tw,llm_reviewed,Google Sheets GOOGLETRANSLATE zh-TW draft; structurally checked and normalized for Cantonese/Traditional Chinese site use.
